#station;day;hour;pm25;pm10;o3

# ===== DAY 1 =====

PollutionStation5;1;04;12;33;19
PollutionStation5;1;05;14;36;25
PollutionStation5;1;06;20;42;28
PollutionStation5;1;07;24;52;31
PollutionStation5;1;08;20;49;46
PollutionStation5;1;09;22;51;53
PollutionStation5;1;10;17;41;66
PollutionStation5;1;11;16;34;77
PollutionStation5;1;12;14;26;95
PollutionStation5;1;13;11;28;108
PollutionStation5;1;14;10;26;112
PollutionStation5;1;15;15;29;106
PollutionStation5;1;16;13;32;85
PollutionStation5;1;17;19;39;89
PollutionStation5;1;18;19;40;67
PollutionStation5;1;19;19;40;54
PollutionStation5;1;20;21;47;36
PollutionStation5;1;21;16;41;34
PollutionStation5;1;22;12;28;32
PollutionStation5;1;23;14;32;24

# ===== DAY 2 =====

PollutionStation1;2;00;15;30;15
PollutionStation1;2;01;13;29;20
PollutionStation1;2;02;15;30;18
PollutionStation1;2;03;19;40;20
PollutionStation1;2;04;17;33;20
PollutionStation1;2;05;23;45;18
PollutionStation1;2;06;26;57;25
PollutionStation1;2;07;33;65;27
PollutionStation1;2;08;35;73;36
PollutionStation1;2;09;35;70;41
PollutionStation1;2;10;30;58;58
PollutionStation1;2;11;22;44;68
PollutionStation1;2;12;18;34;79
PollutionStation1;2;13;15;32;90
PollutionStation1;2;14;19;36;86
PollutionStation1;2;15;21;51;89
PollutionStation1;2;16;25;51;76
PollutionStation1;2;17;28;53;63
PollutionStation1;2;18;33;69;49
PollutionStation1;2;19;35;66;47
PollutionStation1;2;20;29;62;29
PollutionStation1;2;21;27;58;29
PollutionStation1;2;22;24;46;23
PollutionStation1;2;23;17;36;30
PollutionStation2;2;00;17;36;20
PollutionStation2;2;01;20;40;20
PollutionStation2;2;02;17;34;18
PollutionStation2;2;03;18;33;13
PollutionStation2;2;04;21;42;27
PollutionStation2;2;05;23;47;22
PollutionStation2;2;06;35;69;21
PollutionStation2;2;07;39;76;19
PollutionStation2;2;08;40;77;32
PollutionStation2;2;09;36;68;31
PollutionStation2;2;10;31;68;45
PollutionStation2;2;11;25;50;60
PollutionStation2;2;12;21;39;73
PollutionStation2;2;13;19;38;79
PollutionStation2;2;14;19;40;76
PollutionStation2;2;15;23;47;74
PollutionStation2;2;16;28;52;67
PollutionStation2;2;17;31;59;59
PollutionStation2;2;18;36;71;45
PollutionStation2;2;19;36;71;32
PollutionStation2;2;20;33;65;21
PollutionStation2;2;21;33;61;26
PollutionStation2;2;22;27;53;22
PollutionStation2;2;23;23;44;24
PollutionStation3;2;00;14;30;28
PollutionStation3;2;01;16;35;21
PollutionStation3;2;02;16;31;24
PollutionStation3;2;03;15;30;17
PollutionStation3;2;04;18;40;28
PollutionStation3;2;05;23;47;24
PollutionStation3;2;06;29;58;21
PollutionStation3;2;07;35;73;29
PollutionStation3;2;08;38;74;33
PollutionStation3;2;09;34;68;44
PollutionStation3;2;10;31;62;54
PollutionStation3;2;11;23;42;73
PollutionStation3;2;12;18;38;81
PollutionStation3;2;13;16;41;96
PollutionStation3;2;14;17;35;100
PollutionStation3;2;15;21;43;94
PollutionStation3;2;16;22;45;79
PollutionStation3;2;17;28;57;71
PollutionStation3;2;18;32;65;54
PollutionStation3;2;19;32;66;45
PollutionStation3;2;20;34;68;37
PollutionStation3;2;21;27;53;29
PollutionStation3;2;22;24;47;22
PollutionStation3;2;23;21;42;22
PollutionStation4;2;00;13;28;19
PollutionStation4;2;01;15;26;13
PollutionStation4;2;02;11;19;25
PollutionStation4;2;03;13;29;17
PollutionStation4;2;04;15;31;26
PollutionStation4;2;05;20;40;20
PollutionStation4;2;06;24;51;22
PollutionStation4;2;07;30;63;23
PollutionStation4;2;08;34;70;28
PollutionStation4;2;09;30;65;42
PollutionStation4;2;10;21;46;55
PollutionStation4;2;11;18;35;62
PollutionStation4;2;12;13;29;72
PollutionStation4;2;13;14;33;83
PollutionStation4;2;14;14;35;88
PollutionStation4;2;15;18;34;85
PollutionStation4;2;16;22;43;79
PollutionStation4;2;17;25;55;63
PollutionStation4;2;18;28;59;55
PollutionStation4;2;19;26;56;39
PollutionStation4;2;20;28;57;30
PollutionStation4;2;21;25;53;30
PollutionStation4;2;22;22;49;22
PollutionStation4;2;23;16;37;26
PollutionStation5;2;00;12;25;24
PollutionStation5;2;01;13;27;18
PollutionStation5;2;02;15;27;23
PollutionStation5;2;03;16;32;21
PollutionStation5;2;04;17;36;23
PollutionStation5;2;05;20;44;22
PollutionStation5;2;06;25;55;21
PollutionStation5;2;07;31;64;28
PollutionStation5;2;08;33;67;36
PollutionStation5;2;09;31;63;36
PollutionStation5;2;10;27;56;51
PollutionStation5;2;11;21;41;67
PollutionStation5;2;12;17;35;77
PollutionStation5;2;13;16;32;91
PollutionStation5;2;14;13;30;92
PollutionStation5;2;15;21;36;87
PollutionStation5;2;16;20;43;81
PollutionStation5;2;17;23;46;69
PollutionStation5;2;18;29;62;55
PollutionStation5;2;19;31;61;46
PollutionStation5;2;20;30;58;28
PollutionStation5;2;21;23;51;34
PollutionStation5;2;22;20;39;19
PollutionStation5;2;23;17;36;24

# ===== DAY 3 =====

PollutionStation1;3;00;7;13;28
PollutionStation1;3;01;7;22;27
PollutionStation1;3;02;10;22;33
PollutionStation1;3;03;10;21;30
PollutionStation1;3;04;9;25;23
PollutionStation1;3;05;12;27;28
PollutionStation1;3;06;15;42;31
PollutionStation1;3;07;16;40;39
PollutionStation1;3;08;19;47;43
PollutionStation1;3;09;17;40;55
PollutionStation1;3;10;13;30;72
PollutionStation1;3;11;15;34;83
PollutionStation1;3;12;10;25;105
PollutionStation1;3;13;9;21;117
PollutionStation1;3;14;8;19;121
PollutionStation1;3;15;8;20;124
PollutionStation1;3;16;14;33;106
PollutionStation1;3;17;14;37;85
PollutionStation1;3;18;18;41;71
PollutionStation1;3;19;18;43;57
PollutionStation1;3;20;21;47;45
PollutionStation1;3;21;14;34;32
PollutionStation1;3;22;10;27;29
PollutionStation1;3;23;11;27;29
PollutionStation2;3;00;9;20;20
PollutionStation2;3;01;7;21;22
PollutionStation2;3;02;12;28;33
PollutionStation2;3;03;12;25;22
PollutionStation2;3;04;15;26;29
PollutionStation2;3;05;17;36;23
PollutionStation2;3;06;16;38;27
PollutionStation2;3;07;20;46;35
PollutionStation2;3;08;22;50;43
PollutionStation2;3;09;20;47;52
PollutionStation2;3;10;22;51;61
PollutionStation2;3;11;13;28;75
PollutionStation2;3;12;11;26;95
PollutionStation2;3;13;8;22;106
PollutionStation2;3;14;8;21;110
PollutionStation2;3;15;13;31;101
PollutionStation2;3;16;14;32;97
PollutionStation2;3;17;18;42;85
PollutionStation2;3;18;20;51;65
PollutionStation2;3;19;22;50;46
PollutionStation2;3;20;20;43;40
PollutionStation2;3;21;16;36;28
PollutionStation2;3;22;15;31;34
PollutionStation2;3;23;8;19;25
PollutionStation3;3;00;7;18;34
PollutionStation3;3;01;8;20;34
PollutionStation3;3;02;9;22;31
PollutionStation3;3;03;8;22;35
PollutionStation3;3;04;12;24;34
PollutionStation3;3;05;13;31;29
PollutionStation3;3;06;16;39;35
PollutionStation3;3;07;17;45;42
PollutionStation3;3;08;21;49;52
PollutionStation3;3;09;18;44;61
PollutionStation3;3;10;11;31;77
PollutionStation3;3;11;12;35;95
PollutionStation3;3;12;11;23;113
PollutionStation3;3;13;9;20;127
PollutionStation3;3;14;10;20;132
PollutionStation3;3;15;11;25;126
PollutionStation3;3;16;13;32;110
PollutionStation3;3;17;15;35;93
PollutionStation3;3;18;18;45;72
PollutionStation3;3;19;17;37;64
PollutionStation3;3;20;18;43;52
PollutionStation3;3;21;16;36;40
PollutionStation3;3;22;12;31;25
PollutionStation3;3;23;9;24;33
PollutionStation4;3;00;4;16;21
PollutionStation4;3;01;6;15;29
PollutionStation4;3;02;7;18;28
PollutionStation4;3;03;8;23;23
PollutionStation4;3;04;11;24;31
PollutionStation4;3;05;8;26;28
PollutionStation4;3;06;14;34;24
PollutionStation4;3;07;19;44;34
PollutionStation4;3;08;19;42;39
PollutionStation4;3;09;17;40;51
PollutionStation4;3;10;13;35;69
PollutionStation4;3;11;11;28;86
PollutionStation4;3;12;10;20;102
PollutionStation4;3;13;5;16;113
PollutionStation4;3;14;9;23;117
PollutionStation4;3;15;10;26;113
PollutionStation4;3;16;10;27;100
PollutionStation4;3;17;14;34;85
PollutionStation4;3;18;14;37;66
PollutionStation4;3;19;16;47;59
PollutionStation4;3;20;15;37;49
PollutionStation4;3;21;14;38;30
PollutionStation4;3;22;13;32;38
PollutionStation4;3;23;9;22;27
PollutionStation5;3;00;9;22;27
PollutionStation5;3;01;4;11;23
PollutionStation5;3;02;6;16;29
PollutionStation5;3;03;5;18;34
PollutionStation5;3;04;12;27;30
PollutionStation5;3;05;11;32;36
PollutionStation5;3;06;11;30;28
PollutionStation5;3;07;17;41;39
PollutionStation5;3;08;18;41;42
PollutionStation5;3;09;16;40;63
PollutionStation5;3;10;16;38;68
PollutionStation5;3;11;11;27;91
PollutionStation5;3;12;7;21;102
PollutionStation5;3;13;7;16;118
PollutionStation5;3;14;8;22;128
PollutionStation5;3;15;12;30;122
PollutionStation5;3;16;14;31;111
PollutionStation5;3;17;10;31;92
PollutionStation5;3;18;17;45;76
PollutionStation5;3;19;15;37;55
PollutionStation5;3;20;15;36;48
PollutionStation5;3;21;10;29;36
PollutionStation5;3;22;12;31;34
PollutionStation5;3;23;10;26;30

# ===== DAY 4 =====

PollutionStation1;4;00;13;26;18
PollutionStation1;4;01;9;23;26
PollutionStation1;4;02;12;27;22
PollutionStation1;4;03;15;29;26
PollutionStation1;4;04;16;33;25
PollutionStation1;4;05;16;34;29
PollutionStation1;4;06;24;47;35
PollutionStation1;4;07;27;60;40
PollutionStation1;4;08;27;55;35
PollutionStation1;4;09;28;56;49
PollutionStation1;4;10;22;48;60
PollutionStation1;4;11;17;39;81
PollutionStation1;4;12;15;33;89
PollutionStation1;4;13;12;31;109
PollutionStation1;4;14;12;27;107
PollutionStation1;4;15;13;31;105
PollutionStation1;4;16;17;39;96
PollutionStation1;4;17;20;43;83
PollutionStation1;4;18;24;50;64
PollutionStation1;4;19;28;58;46
PollutionStation1;4;20;26;57;37
PollutionStation1;4;21;20;43;31
PollutionStation1;4;22;18;37;28
PollutionStation1;4;23;12;30;28
PollutionStation2;4;00;10;21;20
PollutionStation2;4;01;12;27;24
PollutionStation2;4;02;12;27;21
PollutionStation2;4;03;13;29;19
PollutionStation2;4;04;15;32;21
PollutionStation2;4;05;19;38;25
PollutionStation2;4;06;26;54;32
PollutionStation2;4;07;26;56;33
PollutionStation2;4;08;30;63;30
PollutionStation2;4;09;30;63;49
PollutionStation2;4;10;23;53;53
PollutionStation2;4;11;21;44;73
PollutionStation2;4;12;16;35;91
PollutionStation2;4;13;15;32;93
PollutionStation2;4;14;13;30;99
PollutionStation2;4;15;17;33;96
PollutionStation2;4;16;20;39;81
PollutionStation2;4;17;26;53;77
PollutionStation2;4;18;30;63;57
PollutionStation2;4;19;28;57;44
PollutionStation2;4;20;25;51;34
PollutionStation2;4;21;23;52;28
PollutionStation2;4;22;20;42;27
PollutionStation2;4;23;15;31;22
PollutionStation3;4;00;11;25;21
PollutionStation3;4;01;11;27;26
PollutionStation3;4;02;11;25;28
PollutionStation3;4;03;16;33;27
PollutionStation3;4;04;14;33;27
PollutionStation3;4;05;16;36;28
PollutionStation3;4;06;20;47;29
PollutionStation3;4;07;27;58;35
PollutionStation3;4;08;28;56;43
PollutionStation3;4;09;25;53;49
PollutionStation3;4;10;20;44;69
PollutionStation3;4;11;14;32;84
PollutionStation3;4;12;14;32;105
PollutionStation3;4;13;15;27;116
PollutionStation3;4;14;12;29;117
PollutionStation3;4;15;17;35;113
PollutionStation3;4;16;16;34;102
PollutionStation3;4;17;18;40;87
PollutionStation3;4;18;23;49;70
PollutionStation3;4;19;28;62;55
PollutionStation3;4;20;23;52;43
PollutionStation3;4;21;21;43;36
PollutionStation3;4;22;19;42;27
PollutionStation3;4;23;13;27;35
PollutionStation4;4;00;10;25;21
PollutionStation4;4;01;12;27;28
PollutionStation4;4;02;11;28;27
PollutionStation4;4;03;10;23;28
PollutionStation4;4;04;14;32;29
PollutionStation4;4;05;13;33;30
PollutionStation4;4;06;19;44;23
PollutionStation4;4;07;23;52;36
PollutionStation4;4;08;25;55;37
PollutionStation4;4;09;21;48;46
PollutionStation4;4;10;19;45;68
PollutionStation4;4;11;15;34;78
PollutionStation4;4;12;11;31;93
PollutionStation4;4;13;10;23;92
PollutionStation4;4;14;11;25;102
PollutionStation4;4;15;11;25;103
PollutionStation4;4;16;18;37;100
PollutionStation4;4;17;20;42;81
PollutionStation4;4;18;21;49;67
PollutionStation4;4;19;23;49;55
PollutionStation4;4;20;21;50;42
PollutionStation4;4;21;22;52;30
PollutionStation4;4;22;17;40;32
PollutionStation4;4;23;14;32;25
PollutionStation5;4;00;8;22;26
PollutionStation5;4;01;8;17;23
PollutionStation5;4;02;9;25;26
PollutionStation5;4;03;11;24;30
PollutionStation5;4;04;11;28;24
PollutionStation5;4;05;14;33;28
PollutionStation5;4;06;20;44;27
PollutionStation5;4;07;23;50;41
PollutionStation5;4;08;24;51;43
PollutionStation5;4;09;22;48;52
PollutionStation5;4;10;20;44;69
PollutionStation5;4;11;16;35;81
PollutionStation5;4;12;13;28;97
PollutionStation5;4;13;11;23;117
PollutionStation5;4;14;8;20;121
PollutionStation5;4;15;14;29;115
PollutionStation5;4;16;16;36;96
PollutionStation5;4;17;21;44;84
PollutionStation5;4;18;20;45;69
PollutionStation5;4;19;26;60;53
PollutionStation5;4;20;21;46;36
PollutionStation5;4;21;17;40;31
PollutionStation5;4;22;17;40;29
PollutionStation5;4;23;9;23;25
