#station;day;hour;temp;hum;press

# ===== DAY 1 =====

MeteoStation2;2;23;5.2;72;1013.1
MeteoStation3;2;00;4.9;80;1015.2
MeteoStation3;2;01;4.3;75;1014.6
MeteoStation3;2;02;3.7;79;1016.9
MeteoStation3;2;03;3.2;82;1017.7
MeteoStation3;2;04;3.3;77;1017.3
MeteoStation3;2;05;3.9;82;1017.5
MeteoStation3;2;06;5.7;82;1019.1
MeteoStation3;2;07;5.2;73;1017.6
MeteoStation3;2;08;7.0;71;1016.9
MeteoStation3;2;09;8.8;72;1018.4
MeteoStation3;2;10;11.3;71;1017.2
MeteoStation3;2;11;11.4;65;1017.1
MeteoStation3;2;12;12.6;60;1016.9
MeteoStation3;2;13;14.0;60;1014.4
MeteoStation3;2;14;13.9;58;1014.2
MeteoStation3;2;15;13.7;54;1013.3
MeteoStation3;2;16;13.9;56;1013.1
MeteoStation3;2;17;13.0;62;1013.0
MeteoStation3;2;18;12.5;59;1011.9
MeteoStation3;2;19;10.4;64;1011.3
MeteoStation3;2;20;10.2;65;1012.5
MeteoStation3;2;21;8.9;67;1012.1
MeteoStation3;2;22;7.3;74;1013.1
MeteoStation3;2;23;5.5;74;1013.7

# ===== DAY 3 =====

MeteoStation1;3;00;9.6;59;1008.3
MeteoStation1;3;01;8.8;64;1008.8
MeteoStation1;3;02;7.4;71;1009.3
MeteoStation1;3;03;8.1;72;1011.4
MeteoStation1;3;04;8.4;68;1011.5
MeteoStation1;3;05;8.1;65;1011.0
MeteoStation1;3;06;9.7;70;1012.4
MeteoStation1;3;07;10.2;66;1012.8
MeteoStation1;3;08;11.8;64;1012.8
MeteoStation1;3;09;13.2;56;1012.8
MeteoStation1;3;10;15.0;50;1012.3
MeteoStation1;3;11;16.2;49;1010.2
MeteoStation1;3;12;16.8;48;1009.1
MeteoStation1;3;13;18.1;47;1010.1
MeteoStation1;3;14;18.5;44;1008.5
MeteoStation1;3;15;18.5;42;1007.7
MeteoStation1;3;16;18.2;46;1006.4
MeteoStation1;3;17;18.5;47;1007.4
MeteoStation1;3;18;17.5;50;1006.7
MeteoStation1;3;19;16.1;49;1006.4
MeteoStation1;3;20;14.3;52;1006.7
MeteoStation1;3;21;13.4;55;1007.6
MeteoStation1;3;22;12.3;61;1007.5
MeteoStation1;3;23;10.5;62;1009.0
MeteoStation2;3;00;8.8;70;1008.8
MeteoStation2;3;01;7.6;70;1009.3
MeteoStation2;3;02;7.0;70;1011.6
MeteoStation2;3;03;6.3;74;1011.9
MeteoStation2;3;04;7.9;67;1012.9
MeteoStation2;3;05;7.4;68;1012.7
MeteoStation2;3;06;7.8;68;1013.8
MeteoStation2;3;07;9.2;68;1013.5
MeteoStation2;3;08;10.6;59;1013.1
MeteoStation2;3;09;12.6;60;1012.7
MeteoStation2;3;10;13.9;58;1012.9
MeteoStation2;3;11;14.9;50;1012.3
MeteoStation2;3;12;17.0;49;1010.9
MeteoStation2;3;13;17.4;46;1010.9
MeteoStation2;3;14;17.9;52;1010.0
MeteoStation2;3;15;18.3;45;1008.2
MeteoStation2;3;16;17.6;48;1007.5
MeteoStation2;3;17;17.1;49;1007.5
MeteoStation2;3;18;16.6;47;1006.7
MeteoStation2;3;19;14.9;49;1007.4
MeteoStation2;3;20;14.0;53;1006.7
MeteoStation2;3;21;12.7;55;1007.1
MeteoStation2;3;22;11.1;59;1007.2
MeteoStation2;3;23;10.3;66;1009.1
MeteoStation3;3;00;9.8;63;1010.1
MeteoStation3;3;01;8.6;67;1010.6
MeteoStation3;3;02;7.6;69;1011.7
MeteoStation3;3;03;8.0;71;1011.5
MeteoStation3;3;04;7.8;71;1011.3
MeteoStation3;3;05;8.5;67;1012.8
MeteoStation3;3;06;9.3;66;1012.1
MeteoStation3;3;07;10.0;63;1012.7
MeteoStation3;3;08;12.0;61;1011.8
MeteoStation3;3;09;13.3;55;1012.1
MeteoStation3;3;10;14.7;54;1012.0
MeteoStation3;3;11;16.0;47;1011.4
MeteoStation3;3;12;17.2;48;1010.4
MeteoStation3;3;13;18.2;49;1009.6
MeteoStation3;3;14;18.1;47;1008.9
MeteoStation3;3;15;18.9;45;1009.1
MeteoStation3;3;16;18.4;49;1008.2
MeteoStation3;3;17;18.8;47;1007.3
MeteoStation3;3;18;16.7;53;1008.5
MeteoStation3;3;19;15.5;51;1006.5
MeteoStation3;3;20;14.9;52;1007.0
MeteoStation3;3;21;12.8;54;1008.2
MeteoStation3;3;22;11.6;57;1007.5
MeteoStation3;3;23;9.9;61;1008.2

# ===== DAY 4 =====

MeteoStation1;4;00;7.7;77;1011.8
MeteoStation1;4;01;6.7;75;1012.6
MeteoStation1;4;02;6.8;84;1015.1
MeteoStation1;4;03;6.3;77;1014.3
MeteoStation1;4;04;6.2;74;1015.5
MeteoStation1;4;05;6.2;76;1014.9
MeteoStation1;4;06;8.0;70;1015.4
MeteoStation1;4;07;9.2;75;1013.9
MeteoStation1;4;08;10.4;71;1016.0
MeteoStation1;4;09;11.3;66;1013.8
MeteoStation1;4;10;12.8;62;1015.5
MeteoStation1;4;11;14.6;60;1016.5
MeteoStation1;4;12;15.6;62;1013.4
MeteoStation1;4;13;16.0;59;1011.3
MeteoStation1;4;14;17.0;58;1012.2
MeteoStation1;4;15;17.3;51;1011.1
MeteoStation1;4;16;17.6;54;1011.0
MeteoStation1;4;17;17.0;49;1009.9
MeteoStation1;4;18;15.2;61;1009.1
MeteoStation1;4;19;14.9;63;1010.6
MeteoStation1;4;20;13.6;63;1009.5
MeteoStation1;4;21;12.0;66;1010.2
MeteoStation1;4;22;10.1;70;1011.0
MeteoStation1;4;23;8.6;72;1012.0
MeteoStation2;4;00;7.3;75;1013.5
MeteoStation2;4;01;6.5;81;1012.7
MeteoStation2;4;02;5.8;79;1013.5
MeteoStation2;4;03;5.2;78;1014.7
MeteoStation2;4;04;5.6;74;1016.0
MeteoStation2;4;05;6.4;79;1014.9
MeteoStation2;4;06;7.2;76;1014.9
MeteoStation2;4;07;9.3;72;1016.8
MeteoStation2;4;08;9.7;67;1016.0
MeteoStation2;4;09;12.0;68;1015.4
MeteoStation2;4;10;12.6;63;1015.0
MeteoStation2;4;11;14.2;62;1014.7
MeteoStation2;4;12;15.1;60;1013.3
MeteoStation2;4;13;15.6;55;1012.7
MeteoStation2;4;14;16.9;51;1013.1
MeteoStation2;4;15;16.4;58;1012.0
MeteoStation2;4;16;15.9;55;1010.6
MeteoStation2;4;17;15.7;55;1010.0
MeteoStation2;4;18;15.8;59;1010.6
MeteoStation2;4;19;13.9;61;1010.1
MeteoStation2;4;20;12.6;64;1010.3
MeteoStation2;4;21;11.4;65;1010.3
MeteoStation2;4;22;9.8;73;1011.7
MeteoStation2;4;23;8.9;77;1011.2
MeteoStation3;4;00;7.8;71;1013.0
MeteoStation3;4;01;7.2;75;1013.3
MeteoStation3;4;02;6.6;78;1012.6
MeteoStation3;4;03;5.7;74;1013.4
MeteoStation3;4;04;6.8;79;1016.5
MeteoStation3;4;05;7.2;75;1015.3
MeteoStation3;4;06;7.0;70;1015.4
MeteoStation3;4;07;9.4;76;1016.2
MeteoStation3;4;08;9.9;71;1016.6
MeteoStation3;4;09;11.7;66;1017.0
MeteoStation3;4;10;12.7;62;1015.6
MeteoStation3;4;11;14.9;60;1015.5
MeteoStation3;4;12;15.0;62;1015.3
MeteoStation3;4;13;16.2;53;1013.6
MeteoStation3;4;14;17.8;56;1012.9
MeteoStation3;4;15;17.6;54;1011.5
MeteoStation3;4;16;16.6;54;1012.0
MeteoStation3;4;17;16.8;57;1011.2
MeteoStation3;4;18;16.1;60;1010.6
MeteoStation3;4;19;14.4;58;1009.5
MeteoStation3;4;20;12.5;59;1009.1
MeteoStation3;4;21;12.2;67;1011.1
MeteoStation3;4;22;10.7;67;1011.1
MeteoStation3;4;23;8.4;72;1012.2
