#station;day;hour;pm25;pm10;o3

# ===== DAY 1 =====

PollutionStation5;1;10;21;44;59
PollutionStation5;1;11;15;30;81
PollutionStation5;1;12;16;34;91
PollutionStation5;1;13;11;21;99
PollutionStation5;1;14;14;31;105
PollutionStation5;1;15;11;30;100
PollutionStation5;1;16;17;37;93
PollutionStation5;1;17;19;46;75
PollutionStation5;1;18;23;47;58
PollutionStation5;1;19;25;51;46
PollutionStation5;1;20;20;45;36
PollutionStation5;1;21;22;48;30
PollutionStation5;1;22;13;28;32
PollutionStation5;1;23;14;32;30
PollutionStation6;1;00;12;26;20
PollutionStation6;1;01;11;24;19
PollutionStation6;1;02;12;24;25
PollutionStation6;1;03;10;23;22
PollutionStation6;1;04;15;31;24
PollutionStation6;1;05;17;40;23
PollutionStation6;1;06;22;50;32
PollutionStation6;1;07;25;55;28
PollutionStation6;1;08;28;63;39
PollutionStation6;1;09;26;54;45
PollutionStation6;1;10;22;46;58
PollutionStation6;1;11;13;35;77
PollutionStation6;1;12;15;35;84
PollutionStation6;1;13;14;29;88
PollutionStation6;1;14;13;31;98
PollutionStation6;1;15;13;34;99
PollutionStation6;1;16;18;43;85
PollutionStation6;1;17;23;51;71
PollutionStation6;1;18;25;56;54
PollutionStation6;1;19;26;56;48
PollutionStation6;1;20;24;52;28
PollutionStation6;1;21;21;47;29
PollutionStation6;1;22;17;42;28
PollutionStation6;1;23;12;30;20
PollutionStation7;1;00;11;22;20
PollutionStation7;1;01;10;22;21
PollutionStation7;1;02;11;24;28
PollutionStation7;1;03;10;21;24
PollutionStation7;1;04;13;29;24
PollutionStation7;1;05;15;33;24
PollutionStation7;1;06;19;43;27
PollutionStation7;1;07;24;51;31
PollutionStation7;1;08;25;54;34
PollutionStation7;1;09;22;47;49
PollutionStation7;1;10;19;45;61
PollutionStation7;1;11;17;38;71
PollutionStation7;1;12;16;31;87
PollutionStation7;1;13;10;23;96
PollutionStation7;1;14;13;26;102
PollutionStation7;1;15;16;30;95
PollutionStation7;1;16;19;42;89
PollutionStation7;1;17;21;50;70
PollutionStation7;1;18;24;52;56
PollutionStation7;1;19;21;47;44
PollutionStation7;1;20;21;46;38
PollutionStation7;1;21;21;46;29
PollutionStation7;1;22;18;37;19
PollutionStation7;1;23;13;33;23

# ===== DAY 2 =====

PollutionStation1;2;00;13;25;20
PollutionStation1;2;01;13;29;25
PollutionStation1;2;02;11;24;18
PollutionStation1;2;03;11;25;11
PollutionStation1;2;04;16;33;25
PollutionStation1;2;05;20;43;18
PollutionStation1;2;06;25;55;29
PollutionStation1;2;07;30;63;24
PollutionStation1;2;08;34;67;33
PollutionStation1;2;09;31;63;40
PollutionStation1;2;10;22;46;52
PollutionStation1;2;11;22;45;62
PollutionStation1;2;12;15;31;65
PollutionStation1;2;13;14;34;82
PollutionStation1;2;14;15;29;83
PollutionStation1;2;15;17;34;76
PollutionStation1;2;16;21;42;68
PollutionStation1;2;17;22;48;64
PollutionStation1;2;18;26;52;47
PollutionStation1;2;19;29;60;41
PollutionStation1;2;20;29;63;32
PollutionStation1;2;21;25;53;22
PollutionStation1;2;22;22;47;21
PollutionStation1;2;23;15;29;20
PollutionStation2;2;00;12;26;19
PollutionStation2;2;01;13;30;15
PollutionStation2;2;02;13;27;22
PollutionStation2;2;03;19;37;22
PollutionStation2;2;04;16;31;21
PollutionStation2;2;05;20;41;21
PollutionStation2;2;06;25;55;26
PollutionStation2;2;07;31;65;22
PollutionStation2;2;08;32;70;34
PollutionStation2;2;09;29;58;41
PollutionStation2;2;10;25;48;52
PollutionStation2;2;11;20;41;60
PollutionStation2;2;12;18;36;77
PollutionStation2;2;13;14;26;77
PollutionStation2;2;14;15;30;89
PollutionStation2;2;15;17;38;92
PollutionStation2;2;16;21;41;77
PollutionStation2;2;17;25;48;59
PollutionStation2;2;18;29;60;53
PollutionStation2;2;19;28;56;44
PollutionStation2;2;20;30;60;28
PollutionStation2;2;21;19;38;28
PollutionStation2;2;22;19;41;24
PollutionStation2;2;23;17;38;16
PollutionStation3;2;00;12;27;24
PollutionStation3;2;01;13;29;20
PollutionStation3;2;02;11;26;20
PollutionStation3;2;03;16;32;18
PollutionStation3;2;04;17;33;24
PollutionStation3;2;05;22;48;20
PollutionStation3;2;06;29;59;26
PollutionStation3;2;07;31;64;25
PollutionStation3;2;08;34;69;37
PollutionStation3;2;09;35;72;41
PollutionStation3;2;10;24;48;57
PollutionStation3;2;11;23;48;61
PollutionStation3;2;12;17;32;83
PollutionStation3;2;13;16;34;89
PollutionStation3;2;14;16;37;83
PollutionStation3;2;15;21;43;85
PollutionStation3;2;16;23;43;83
PollutionStation3;2;17;28;56;68
PollutionStation3;2;18;30;64;49
PollutionStation3;2;19;29;62;39
PollutionStation3;2;20;32;63;36
PollutionStation3;2;21;30;60;34
PollutionStation3;2;22;24;50;25
PollutionStation3;2;23;19;36;30
PollutionStation4;2;00;14;29;19
PollutionStation4;2;01;18;37;21
PollutionStation4;2;02;16;33;20
PollutionStation4;2;03;17;33;23
PollutionStation4;2;04;19;39;17
PollutionStation4;2;05;24;50;17
PollutionStation4;2;06;31;64;22
PollutionStation4;2;07;40;74;32
PollutionStation4;2;08;38;75;29
PollutionStation4;2;09;37;69;36
PollutionStation4;2;10;29;61;51
PollutionStation4;2;11;24;46;56
PollutionStation4;2;12;13;28;71
PollutionStation4;2;13;16;33;82
PollutionStation4;2;14;19;35;78
PollutionStation4;2;15;22;43;83
PollutionStation4;2;16;24;45;74
PollutionStation4;2;17;32;62;60
PollutionStation4;2;18;35;68;47
PollutionStation4;2;19;36;69;38
PollutionStation4;2;20;37;69;32
PollutionStation4;2;21;32;61;25
PollutionStation4;2;22;28;56;17
PollutionStation4;2;23;21;43;20
PollutionStation5;2;00;11;24;19
PollutionStation5;2;01;12;28;22
PollutionStation5;2;02;17;32;21
PollutionStation5;2;03;16;34;13
PollutionStation5;2;04;22;43;27
PollutionStation5;2;05;25;49;22
PollutionStation5;2;06;31;63;20
PollutionStation5;2;07;37;72;26
PollutionStation5;2;08;41;78;32
PollutionStation5;2;09;37;73;46
PollutionStation5;2;10;30;59;55
PollutionStation5;2;11;25;47;66
PollutionStation5;2;12;18;38;76
PollutionStation5;2;13;18;36;85
PollutionStation5;2;14;16;37;93
PollutionStation5;2;15;21;44;84
PollutionStation5;2;16;25;49;83
PollutionStation5;2;17;27;52;63
PollutionStation5;2;18;32;61;53
PollutionStation5;2;19;37;71;36
PollutionStation5;2;20;31;63;34
PollutionStation5;2;21;31;57;25
PollutionStation5;2;22;24;47;25
PollutionStation5;2;23;19;40;24
PollutionStation6;2;00;15;32;18
PollutionStation6;2;01;15;31;18
PollutionStation6;2;02;14;30;18
PollutionStation6;2;03;17;35;14
PollutionStation6;2;04;18;35;24
PollutionStation6;2;05;24;46;18
PollutionStation6;2;06;31;59;16
PollutionStation6;2;07;38;73;30
PollutionStation6;2;08;38;72;35
PollutionStation6;2;09;37;74;35
PollutionStation6;2;10;31;61;50
PollutionStation6;2;11;23;48;62
PollutionStation6;2;12;24;47;73
PollutionStation6;2;13;17;32;81
PollutionStation6;2;14;20;38;89
PollutionStation6;2;15;24;50;79
PollutionStation6;2;16;22;43;70
PollutionStation6;2;17;32;61;60
PollutionStation6;2;18;32;65;49
PollutionStation6;2;19;38;75;42
PollutionStation6;2;20;34;67;30
PollutionStation6;2;21;31;60;26
PollutionStation6;2;22;27;53;25
PollutionStation6;2;23;24;47;22
PollutionStation7;2;00;13;24;17
PollutionStation7;2;01;15;33;19
PollutionStation7;2;02;15;34;28
PollutionStation7;2;03;19;36;20
PollutionStation7;2;04;18;35;12
PollutionStation7;2;05;23;46;18
PollutionStation7;2;06;31;60;24
PollutionStation7;2;07;36;71;28
PollutionStation7;2;08;35;69;31
PollutionStation7;2;09;36;76;40
PollutionStation7;2;10;28;59;44
PollutionStation7;2;11;22;48;60
PollutionStation7;2;12;20;38;68
PollutionStation7;2;13;15;29;82
PollutionStation7;2;14;16;32;86
PollutionStation7;2;15;20;38;86
PollutionStation7;2;16;22;45;75
PollutionStation7;2;17;27;53;53
PollutionStation7;2;18;34;67;50
PollutionStation7;2;19;35;69;35
PollutionStation7;2;20;36;65;28
PollutionStation7;2;21;32;62;26
PollutionStation7;2;22;24;47;21
PollutionStation7;2;23;19;37;13

# ===== DAY 3 =====

PollutionStation1;3;00;4;16;26
PollutionStation1;3;01;6;11;29
PollutionStation1;3;02;6;14;30
PollutionStation1;3;03;9;18;26
PollutionStation1;3;04;7;19;23
PollutionStation1;3;05;13;28;29
PollutionStation1;3;06;15;35;27
PollutionStation1;3;07;17;44;30
PollutionStation1;3;08;18;39;37
PollutionStation1;3;09;16;37;51
PollutionStation1;3;10;14;34;74
PollutionStation1;3;11;12;26;90
PollutionStation1;3;12;7;19;98
PollutionStation1;3;13;7;22;108
PollutionStation1;3;14;10;28;115
PollutionStation1;3;15;7;23;114
PollutionStation1;3;16;12;28;98
PollutionStation1;3;17;14;33;82
PollutionStation1;3;18;17;45;63
PollutionStation1;3;19;16;41;49
PollutionStation1;3;20;14;35;41
PollutionStation1;3;21;12;32;40
PollutionStation1;3;22;7;25;34
PollutionStation1;3;23;10;25;25
PollutionStation2;3;00;7;23;29
PollutionStation2;3;01;7;16;22
PollutionStation2;3;02;8;20;31
PollutionStation2;3;03;9;24;27
PollutionStation2;3;04;7;21;30
PollutionStation2;3;05;9;23;29
PollutionStation2;3;06;16;40;28
PollutionStation2;3;07;17;41;39
PollutionStation2;3;08;18;48;44
PollutionStation2;3;09;18;44;55
PollutionStation2;3;10;11;31;70
PollutionStation2;3;11;8;23;86
PollutionStation2;3;12;9;23;104
PollutionStation2;3;13;9;22;110
PollutionStation2;3;14;6;13;123
PollutionStation2;3;15;8;24;116
PollutionStation2;3;16;9;27;100
PollutionStation2;3;17;14;38;88
PollutionStation2;3;18;13;36;70
PollutionStation2;3;19;16;42;49
PollutionStation2;3;20;15;36;41
PollutionStation2;3;21;14;36;39
PollutionStation2;3;22;10;28;36
PollutionStation2;3;23;10;29;35
PollutionStation3;3;00;8;20;27
PollutionStation3;3;01;10;20;28
PollutionStation3;3;02;5;18;23
PollutionStation3;3;03;9;22;30
PollutionStation3;3;04;8;20;24
PollutionStation3;3;05;9;28;31
PollutionStation3;3;06;15;35;32
PollutionStation3;3;07;19;47;38
PollutionStation3;3;08;19;44;40
PollutionStation3;3;09;19;42;53
PollutionStation3;3;10;14;37;74
PollutionStation3;3;11;8;25;95
PollutionStation3;3;12;8;19;100
PollutionStation3;3;13;8;19;119
PollutionStation3;3;14;10;23;127
PollutionStation3;3;15;9;25;119
PollutionStation3;3;16;12;27;99
PollutionStation3;3;17;15;35;87
PollutionStation3;3;18;15;39;73
PollutionStation3;3;19;19;40;57
PollutionStation3;3;20;16;38;46
PollutionStation3;3;21;16;37;40
PollutionStation3;3;22;11;29;35
PollutionStation3;3;23;11;26;30
PollutionStation4;3;00;10;23;21
PollutionStation4;3;01;7;18;28
PollutionStation4;3;02;8;21;27
PollutionStation4;3;03;9;21;28
PollutionStation4;3;04;9;23;29
PollutionStation4;3;05;14;37;26
PollutionStation4;3;06;15;37;33
PollutionStation4;3;07;23;49;35
PollutionStation4;3;08;25;55;39
PollutionStation4;3;09;19;47;51
PollutionStation4;3;10;16;38;65
PollutionStation4;3;11;14;37;74
PollutionStation4;3;12;8;25;98
PollutionStation4;3;13;9;23;106
PollutionStation4;3;14;12;29;110
PollutionStation4;3;15;10;27;108
PollutionStation4;3;16;12;33;97
PollutionStation4;3;17;17;38;91
PollutionStation4;3;18;21;46;73
PollutionStation4;3;19;20;48;50
PollutionStation4;3;20;19;47;42
PollutionStation4;3;21;17;39;34
PollutionStation4;3;22;14;29;32
PollutionStation4;3;23;10;23;28
PollutionStation5;3;00;8;21;28
PollutionStation5;3;01;9;19;25
PollutionStation5;3;02;10;21;18
PollutionStation5;3;03;10;23;27
PollutionStation5;3;04;10;25;24
PollutionStation5;3;05;10;24;26
PollutionStation5;3;06;16;37;31
PollutionStation5;3;07;22;49;30
PollutionStation5;3;08;20;49;43
PollutionStation5;3;09;20;49;53
PollutionStation5;3;10;16;37;64
PollutionStation5;3;11;14;30;89
PollutionStation5;3;12;11;25;106
PollutionStation5;3;13;7;18;120
PollutionStation5;3;14;11;25;116
PollutionStation5;3;15;12;25;117
PollutionStation5;3;16;14;33;105
PollutionStation5;3;17;14;35;82
PollutionStation5;3;18;17;41;70
PollutionStation5;3;19;20;50;57
PollutionStation5;3;20;14;35;48
PollutionStation5;3;21;18;45;31
PollutionStation5;3;22;15;34;24
PollutionStation5;3;23;12;29;30
PollutionStation6;3;00;7;21;30
PollutionStation6;3;01;11;26;28
PollutionStation6;3;02;9;23;26
PollutionStation6;3;03;9;22;24
PollutionStation6;3;04;12;28;24
PollutionStation6;3;05;16;37;25
PollutionStation6;3;06;20;43;27
PollutionStation6;3;07;21;49;36
PollutionStation6;3;08;22;51;44
PollutionStation6;3;09;21;49;49
PollutionStation6;3;10;18;39;73
PollutionStation6;3;11;11;29;77
PollutionStation6;3;12;11;25;100
PollutionStation6;3;13;11;28;117
PollutionStation6;3;14;11;24;112
PollutionStation6;3;15;11;21;113
PollutionStation6;3;16;14;35;93
PollutionStation6;3;17;19;38;84
PollutionStation6;3;18;20;44;65
PollutionStation6;3;19;20;48;57
PollutionStation6;3;20;19;42;37
PollutionStation6;3;21;19;46;37
PollutionStation6;3;22;12;32;32
PollutionStation6;3;23;13;29;29
PollutionStation7;3;00;9;22;31
PollutionStation7;3;01;6;16;23
PollutionStation7;3;02;9;25;26
PollutionStation7;3;03;9;23;27
PollutionStation7;3;04;11;26;27
PollutionStation7;3;05;13;32;30
PollutionStation7;3;06;16;38;28
PollutionStation7;3;07;16;38;35
PollutionStation7;3;08;21;46;41
PollutionStation7;3;09;20;48;55
PollutionStation7;3;10;17;39;70
PollutionStation7;3;11;13;30;81
PollutionStation7;3;12;11;26;97
PollutionStation7;3;13;13;28;112
PollutionStation7;3;14;9;24;113
PollutionStation7;3;15;10;21;108
PollutionStation7;3;16;14;30;95
PollutionStation7;3;17;20;40;83
PollutionStation7;3;18;17;36;67
PollutionStation7;3;19;19;44;53
PollutionStation7;3;20;19;43;44
PollutionStation7;3;21;17;38;33
PollutionStation7;3;22;15;39;34
PollutionStation7;3;23;9;25;32

# ===== DAY 4 =====

PollutionStation1;4;00;7;17;26
PollutionStation1;4;01;9;22;27
PollutionStation1;4;02;9;20;30
PollutionStation1;4;03;12;29;24
PollutionStation1;4;04;12;29;26
PollutionStation1;4;05;11;26;20
PollutionStation1;4;06;20;43;28
PollutionStation1;4;07;20;49;36
PollutionStation1;4;08;24;51;45
PollutionStation1;4;09;22;48;46
PollutionStation1;4;10;21;44;63
PollutionStation1;4;11;15;33;79
PollutionStation1;4;12;8;22;89
PollutionStation1;4;13;9;20;101
PollutionStation1;4;14;12;26;108
PollutionStation1;4;15;14;30;101
PollutionStation1;4;16;16;36;86
PollutionStation1;4;17;19;43;83
PollutionStation1;4;18;21;47;56
PollutionStation1;4;19;24;53;55
PollutionStation1;4;20;21;49;34
PollutionStation1;4;21;16;40;29
PollutionStation1;4;22;18;38;31
PollutionStation1;4;23;11;30;25
PollutionStation2;4;00;13;27;20
PollutionStation2;4;01;11;22;29
PollutionStation2;4;02;11;24;25
PollutionStation2;4;03;10;21;28
PollutionStation2;4;04;12;26;21
PollutionStation2;4;05;14;35;22
PollutionStation2;4;06;20;43;26
PollutionStation2;4;07;22;48;31
PollutionStation2;4;08;24;54;38
PollutionStation2;4;09;23;49;54
PollutionStation2;4;10;19;38;74
PollutionStation2;4;11;14;35;80
PollutionStation2;4;12;8;22;84
PollutionStation2;4;13;10;25;109
PollutionStation2;4;14;12;30;109
PollutionStation2;4;15;13;34;103
PollutionStation2;4;16;16;33;91
PollutionStation2;4;17;21;40;82
PollutionStation2;4;18;22;49;65
PollutionStation2;4;19;22;48;45
PollutionStation2;4;20;20;45;36
PollutionStation2;4;21;18;41;33
PollutionStation2;4;22;17;37;25
PollutionStation2;4;23;12;26;27
PollutionStation3;4;00;11;23;27
PollutionStation3;4;01;11;23;30
PollutionStation3;4;02;12;28;28
PollutionStation3;4;03;9;22;29
PollutionStation3;4;04;16;34;30
PollutionStation3;4;05;16;32;26
PollutionStation3;4;06;19;40;28
PollutionStation3;4;07;24;52;29
PollutionStation3;4;08;26;57;41
PollutionStation3;4;09;26;55;53
PollutionStation3;4;10;20;45;63
PollutionStation3;4;11;15;36;81
PollutionStation3;4;12;11;29;95
PollutionStation3;4;13;12;28;105
PollutionStation3;4;14;14;28;114
PollutionStation3;4;15;14;33;110
PollutionStation3;4;16;18;42;99
PollutionStation3;4;17;18;34;83
PollutionStation3;4;18;22;52;52
PollutionStation3;4;19;24;55;52
PollutionStation3;4;20;23;50;46
PollutionStation3;4;21;20;42;31
PollutionStation3;4;22;16;39;30
PollutionStation3;4;23;15;32;29
PollutionStation4;4;00;8;16;26
PollutionStation4;4;01;13;25;24
PollutionStation4;4;02;13;25;24
PollutionStation4;4;03;15;31;23
PollutionStation4;4;04;15;29;32
PollutionStation4;4;05;21;45;24
PollutionStation4;4;06;25;46;28
PollutionStation4;4;07;28;62;29
PollutionStation4;4;08;32;64;44
PollutionStation4;4;09;30;61;48
PollutionStation4;4;10;24;52;60
PollutionStation4;4;11;22;40;75
PollutionStation4;4;12;14;28;95
PollutionStation4;4;13;14;31;95
PollutionStation4;4;14;12;25;101
PollutionStation4;4;15;16;36;91
PollutionStation4;4;16;17;38;92
PollutionStation4;4;17;19;42;75
PollutionStation4;4;18;28;53;56
PollutionStation4;4;19;29;62;42
PollutionStation4;4;20;26;54;33
PollutionStation4;4;21;25;55;30
PollutionStation4;4;22;17;37;28
PollutionStation4;4;23;18;38;26
PollutionStation5;4;00;10;22;25
PollutionStation5;4;01;12;30;29
PollutionStation5;4;02;11;23;22
PollutionStation5;4;03;11;24;28
PollutionStation5;4;04;17;34;21
PollutionStation5;4;05;19;42;25
PollutionStation5;4;06;23;48;33
PollutionStation5;4;07;29;58;36
PollutionStation5;4;08;27;58;39
PollutionStation5;4;09;27;58;47
PollutionStation5;4;10;24;53;65
PollutionStation5;4;11;20;39;78
PollutionStation5;4;12;14;33;99
PollutionStation5;4;13;9;22;102
PollutionStation5;4;14;16;35;102
PollutionStation5;4;15;14;32;111
PollutionStation5;4;16;17;36;100
PollutionStation5;4;17;23;52;80
PollutionStation5;4;18;24;55;63
PollutionStation5;4;19;24;53;52
PollutionStation5;4;20;27;55;40
PollutionStation5;4;21;25;53;38
PollutionStation5;4;22;21;43;29
PollutionStation5;4;23;15;38;32
PollutionStation6;4;00;12;26;21
PollutionStation6;4;01;12;28;29
PollutionStation6;4;02;10;19;29
PollutionStation6;4;03;12;30;19
PollutionStation6;4;04;14;33;23
PollutionStation6;4;05;20;40;24
PollutionStation6;4;06;27;54;34
PollutionStation6;4;07;28;56;37
PollutionStation6;4;08;30;63;35
PollutionStation6;4;09;27;58;46
PollutionStation6;4;10;21;43;65
PollutionStation6;4;11;19;45;72
PollutionStation6;4;12;15;28;94
PollutionStation6;4;13;14;28;100
PollutionStation6;4;14;11;30;102
PollutionStation6;4;15;15;34;99
PollutionStation6;4;16;19;37;90
PollutionStation6;4;17;23;52;80
PollutionStation6;4;18;27;61;63
PollutionStation6;4;19;27;58;55
PollutionStation6;4;20;29;60;41
PollutionStation6;4;21;24;53;27
PollutionStation6;4;22;21;45;28
PollutionStation6;4;23;16;34;28
PollutionStation7;4;00;8;17;21
PollutionStation7;4;01;13;24;27
PollutionStation7;4;02;11;28;25
PollutionStation7;4;03;12;26;21
PollutionStation7;4;04;14;31;28
PollutionStation7;4;05;19;41;32
PollutionStation7;4;06;25;52;23
PollutionStation7;4;07;28;57;30
PollutionStation7;4;08;28;56;44
PollutionStation7;4;09;26;55;48
PollutionStation7;4;10;23;46;61
PollutionStation7;4;11;18;41;73
PollutionStation7;4;12;11;26;98
PollutionStation7;4;13;14;31;98
PollutionStation7;4;14;14;31;106
PollutionStation7;4;15;18;37;97
PollutionStation7;4;16;19;42;92
PollutionStation7;4;17;24;51;73
PollutionStation7;4;18;26;58;59
PollutionStation7;4;19;29;61;50
PollutionStation7;4;20;25;56;42
PollutionStation7;4;21;22;47;39
PollutionStation7;4;22;19;42;25
PollutionStation7;4;23;17;37;26
